"player","player_alt","similarity"
"Tyler Spott","Tyler Soy",0.128
"Tyler Spott","Tyler Soy",0.128
"Trey Augustine","Tye Austin",0.129
"Alexander Sharov","Alexander Zhabreyev",0.129
"Alexander Zhabreyev","Alexander Sharov",0.129
"Tye Austin","Trey Augustine",0.129
"Rail Gazizov","Ruslan Gazizov",0.13
"Ruslan Gazizov","Rail Gazizov",0.13
"Alex Blais","Alex Vlasic",0.131
"Michael Callow","Michael Callahan",0.131
"Olivier Nadeau","Olivier Galipeau",0.131
"Olivier Nadeau","Olivier Galipeau",0.131
"Ville Ottavainen","Ville Jarvinen",0.131
"Matthew Kessel","Matthew Thiessen",0.131
"Alex Vlasic","Alex Blais",0.131
"Michael Callahan","Michael Callow",0.131
"Filip Kral","Filip Kovar",0.131
"Matthew Thiessen","Matthew Kessel",0.131
"Filip Westerlund","Filip Berglund",0.131
"Josh Brook","Josh Prokop",0.131
"Dmitri Samorukov","Dmitri Sokolov",0.131
"Matthew Filipe","Matthew Phillips",0.131
"Filip Berglund","Filip Westerlund",0.131
"Matthew Phillips","Matthew Filipe",0.131
"Dmitri Sokolov","Dmitri Samorukov",0.131
"Ville Ottavainen","Ville Jarvinen",0.131
"Filip Kovar","Filip Kral",0.131
"Olivier Galipeau","Olivier Nadeau",0.131
"Jonathan Leman","Jonathan Lemieux",0.131
"Ville Jarvinen","Ville Ottavainen",0.131
"Ville Jarvinen","Ville Ottavainen",0.131
"Olivier Galipeau","Olivier Nadeau",0.131
"Jonathan Leman","Jonathan Lemieux",0.131
"Adam Kalaj","Adam Klapka",0.131
"Josh Prokop","Josh Brook",0.131
"Adam Klapka","Adam Kalaj",0.131
"Jonathan Lemieux","Jonathan Leman",0.131
"Jonathan Lemieux","Jonathan Leman",0.131
"Tyler Brennan","Tyler Benson",0.132
"Patrick Geary","Patrick Shea",0.132
"Yegor Guskov","Yegor Suchkov",0.132
"Yegor Guskov","Yegor Suchkov",0.132
"Yegor Guskov","Yegor Suchkov",0.132
"Cameron Korpi","Cameron York",0.132
"Samuel Mayer","Samuel Walker",0.132
"Riley Mercer","Riley Piercey",0.132
"Vojtech Polak","Vojtech Port",0.132
"Samuel Savoie","Samuel Solem",0.132
"Kirill Volkov","Kirill Zotov",0.132
"Kirill Volkov","Kirill Popov",0.132
"Oskari Vuorio","Oskari Luoto",0.132
"Tyler Boucher","Tyler Tucker",0.132
"Tyler Boucher","Tyler Nother",0.132
"Dmitri Kuzmin","Dmitri Yudin",0.132
"Cameron Berg","Cameron Hebig",0.132
"Cameron Berg","Cameron Hebig",0.132
"Ethan Samson","Ethan Spaxman",0.132
"Ethan Samson","Ethan Spaxman",0.132
"Ivan Vorobyov","Ivan Morozov",0.132
"Jackson Kunz","Jackson Keane",0.132
"Dmitri Ovchinnikov","Dmitri Ovechkin",0.132
"Matthew Boldy","Matthew Wood",0.132
"Cameron York","Cameron Korpi",0.132
"Samuel Bolduc","Samuel Bucek",0.132
"Hunter Jones","Hunter Holmes",0.132
"Dominik Bokk","Dominik Sojka",0.132
"Ivan Morozov","Ivan Vorobyov",0.132
"Connor Dewar","Connor Bedard",0.132
"Samuel Houde","Samuel Honzek",0.132
"Tyler Tucker","Tyler Boucher",0.132
"Jacob Bryson","Jacob Larsson",0.132
"Ryan McGregor","Ryan McGuire",0.132
"Samuel Walker","Samuel Mayer",0.132
"Tyler Benson","Tyler Brennan",0.132
"Nolan Stevens","Ryan Stevens",0.132
"Patrick Kudla","Patrick Guay",0.132
"Patrick Kudla","Patrick Guay",0.132
"Jacob Larsson","Jacob Bryson",0.132
"Dominik Simon","Dominik Diem",0.132
"Patrick Shea","Patrick Geary",0.132
"Patrick Guay","Patrick Kudla",0.132
"Patrick Guay","Patrick Guzzo",0.132
"Cameron Berg","Cameron Hebig",0.132
"Cameron Berg","Cameron Hebig",0.132
"Carter Schade","Carter Souch",0.132
"Yegor Suchkov","Yegor Guskov",0.132
"Yegor Suchkov","Yegor Guskov",0.132
